Hællang; Python
plussær; PLUS
minusær; MINUS
delær; DIVIDE
gangær; MULTIPLY
mådda-med; MODULO
ære-samma-som; EQUALS
hællæ; LPAREN
prekæs; RPAREN
småære-enn; LT
mere-enn; GT
er-prikk-lik; EQ
dersom-atter; IF
så; THEN
ente-gjør-no; PASS
ellers; ELSE
åsså-æru-ferdig; END_OF_IF_THEN_ELSE
imens; WHILE
ta-åsså-gjør; DO
åsså-gjøru-det-igjen; END_OF_WHILE
spøtt-ut;PRINT
klart-det;TRUE
ente-rekti;FALSE
gi-dæ;BREAK
en-bråtæ-beståænes-av;START_OF_LIST
å;LIST_ITEM_SEPARATOR
å-det-var-det;END_OF_LIST
legg-te;PUSH
i-bråtæn;IN_LIST
græbb-fra;POP
plass-nummer;ARRAY_INDEX
en-fungsjon;FUNCTION
såm-brukær;WITH_PARAMS    
såm-gjør;START_OF_FUNCTION
åså-varn-færi ;END_OF_FUNCTION
kjør;RUN
med;WITH
gi-tilbake;RETURN
kåmma;COMMA
e-orlbok-beståænes-av;START_OF_DICT
å-så-var-orlboka-færi;END_OF_DICT
betyænes;DICT_PAIR_SEPARATOR
slå-opp;DICT_LOOKUP
i-orlboka;IN_DICT
størlsen-a;LENGTH
fjærn;DICT_REMOVE
hent-ut-pytonslange-funksjon;IMPORT
å-kallen-for;AS
i-samma-slengen;END_OF_IMPORT
dått;IMPORT_FUNCTION_SEPARATOR
